"pe","participant","study","N","corrAns","sd","se","ci"
"lowPE","3201","Experiment 1",60,0.833333333333333,0.375823014001414,0.0485185424782985,0.0970853792506545
"lowPE","3202","Experiment 1",60,0.833333333333333,0.375823014001414,0.0485185424782985,0.0970853792506545
"lowPE","3203","Experiment 1",60,0.866666666666667,0.342803331800882,0.0442557198363077,0.0885554908464209
"lowPE","3204","Experiment 1",60,0.883333333333333,0.323731771513093,0.0417935919902812,0.0836287844062594
"lowPE","3205","Experiment 1",58,0.862068965517241,0.347839238026982,0.045673529553967,0.091459665335726
"lowPE","3206","Experiment 1",60,0.766666666666667,0.426521868085099,0.0550637363962288,0.110182282029124
"lowPE","3207","Experiment 1",60,0.883333333333333,0.323731771513093,0.0417935919902812,0.0836287844062594
"lowPE","3208","Experiment 1",60,0.783333333333333,0.415450201656585,0.0536343904064822,0.107322167309953
"lowPE","3209","Experiment 1",60,0.883333333333333,0.323731771513093,0.0417935919902812,0.0836287844062594
"lowPE","3232","Experiment 1",60,0.6,0.494032181755571,0.0637792804143281,0.127622045326866
"lowPE","3234","Experiment 1",59,0.915254237288136,0.280893622840437,0.0365692348590547,0.0732012767991833
"lowPE","3235","Experiment 1",60,0.7,0.462124790542445,0.0596600539213493,0.119379492153117
"lowPE","3236","Experiment 1",59,0.644067796610169,0.482904711968741,0.0628688385587189,0.125845653350892
"lowPE","3237","Experiment 1",60,0.783333333333333,0.415450201656585,0.0536343904064822,0.107322167309953
"lowPE","3239","Experiment 1",59,0.593220338983051,0.495449780599845,0.064502067381982,0.129114916042027
"lowPE","3240","Experiment 1",54,0.944444444444444,0.231212282322664,0.0314640063308252,0.0631088046947088
"lowPE","3241","Experiment 1",53,0.660377358490566,0.478113127360488,0.0656738888055081,0.131784299147549
"lowPE","3243","Experiment 1",53,0.811320754716981,0.394997749437839,0.0542571136212445,0.108874863699939
"lowPE","3244","Experiment 1",53,0.754716981132076,0.434372242763069,0.0596656162295921,0.119727818179148
"lowPE","3246","Experiment 1",53,0.735849056603774,0.445099098569262,0.061139063192527,0.122684505819749
"lowPE","3248","Experiment 1",58,0.862068965517241,0.347839238026982,0.045673529553967,0.091459665335726
"lowPE","3249","Experiment 1",60,0.683333333333333,0.469101798307298,0.0605607817506706,0.121181844376504
"lowPE","3250","Experiment 1",60,0.7,0.462124790542445,0.0596600539213493,0.119379492153117
"lowPE","3251","Experiment 1",58,0.706896551724138,0.45916096973529,0.0602907890443519,0.120730222574715
"lowPE","3252","Experiment 1",60,0.85,0.360084735790276,0.0464867394979745,0.0930197508778403
"lowPE","3253","Experiment 1",59,0.830508474576271,0.378406020441342,0.0492642677098457,0.0986131460184098
"lowPE","3254","Experiment 1",59,0.694915254237288,0.464395687709626,0.060459168847107,0.121022175358143
"lowPE","3255","Experiment 1",59,0.847457627118644,0.362632107772293,0.0472106791975556,0.0945024419881187
"lowPE","3257","Experiment 1",58,0.844827586206897,0.365231199928332,0.0479572060316654,0.0960326486025122
"lowPE","3258","Experiment 1",58,0.862068965517241,0.347839238026982,0.045673529553967,0.091459665335726
"lowPE","3259","Experiment 1",60,0.8,0.403375587271689,0.0520755643923295,0.104202963660389
"lowPE","3260","Experiment 1",58,0.862068965517241,0.347839238026982,0.045673529553967,0.091459665335726
"lowPE","3261","Experiment 1",58,0.862068965517241,0.347839238026982,0.045673529553967,0.091459665335726
"lowPE","3262","Experiment 1",60,0.85,0.360084735790276,0.0464867394979745,0.0930197508778403
"lowPE","3264","Experiment 1",60,0.516666666666667,0.503939284299098,0.065058281853003,0.130181321294223
"lowPE","3268","Experiment 1",60,0.833333333333333,0.375823014001414,0.0485185424782985,0.0970853792506545
"lowPE","3270","Experiment 1",60,0.75,0.436666882304686,0.0563734521002122,0.112803017099405
"lowPE","3271","Experiment 1",60,0.883333333333333,0.323731771513093,0.0417935919902812,0.0836287844062594
"lowPE","3272","Experiment 1",58,0.689655172413793,0.466675308882038,0.0612774701130095,0.122706017334039
"lowPE","3273","Experiment 1",60,0.883333333333333,0.323731771513093,0.0417935919902812,0.0836287844062594
"lowPE","3274","Experiment 1",60,0.683333333333333,0.469101798307298,0.0605607817506706,0.121181844376504
"lowPE","3280","Experiment 1",59,0.779661016949153,0.418033021718648,0.0544232638515739,0.108939998795945
"lowPE","6401","Experiment 1",60,0.783333333333333,0.415450201656585,0.0536343904064822,0.107322167309953
"lowPE","6402","Experiment 1",60,0.783333333333333,0.415450201656585,0.0536343904064822,0.107322167309953
"lowPE","6405","Experiment 1",60,0.766666666666667,0.426521868085099,0.0550637363962288,0.110182282029124
"lowPE","6407","Experiment 1",60,0.65,0.480994731991308,0.0620961528871945,0.124254114924339
"lowPE","9633","Experiment 1",60,0.8,0.403375587271689,0.0520755643923295,0.104202963660389
"lowPE","9636","Experiment 1",60,0.65,0.480994731991308,0.0620961528871945,0.124254114924339
"lowPE","9637","Experiment 1",60,0.85,0.360084735790276,0.0464867394979745,0.0930197508778403
"lowPE","9639","Experiment 1",59,0.779661016949153,0.418033021718648,0.0544232638515739,0.108939998795945
"lowPE","1","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","2","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"lowPE","5","Experiment 2",16,0.0625,0.25,0.0625,0.133215596597486
"lowPE","7","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","8","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"lowPE","9","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","10","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","11","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","12","Experiment 2",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","13","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","14","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"lowPE","15","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"lowPE","17","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","18","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"lowPE","19","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","20","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","21","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"lowPE","22","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","24","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","25","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","26","Experiment 2",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"lowPE","27","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","28","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"lowPE","29","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","30","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","31","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","32","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"lowPE","33","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","35","Experiment 2",15,0.666666666666667,0.487950036474267,0.125988157669742,0.270217723405353
"lowPE","37","Experiment 2",16,0.0625,0.25,0.0625,0.133215596597486
"lowPE","38","Experiment 2",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","40","Experiment 2",16,0.0625,0.25,0.0625,0.133215596597486
"lowPE","41","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"lowPE","42","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"lowPE","43","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","48","Experiment 2",16,0.9375,0.25,0.0625,0.133215596597486
"lowPE","49","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"lowPE","50","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","51","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","52","Experiment 2",16,0,0,0,0
"lowPE","53","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","54","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","55","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","56","Experiment 2",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"lowPE","57","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","58","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","59","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","60","Experiment 2",16,0.875,0.341565025531987,0.0853912563829966,0.182007154612316
"lowPE","61","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"lowPE","62","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"lowPE","63","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","3201","Experiment 1",36,0.833333333333333,0.377964473009227,0.0629940788348712,0.127884778875499
"medPE","3202","Experiment 1",36,0.916666666666667,0.280305955290694,0.0467176592151157,0.094841890361904
"medPE","3203","Experiment 1",36,0.916666666666667,0.280305955290694,0.0467176592151157,0.094841890361904
"medPE","3204","Experiment 1",36,0.805555555555556,0.401386485959743,0.0668977476599572,0.13580964790657
"medPE","3205","Experiment 1",35,0.828571428571429,0.382385260431097,0.0646349059597627,0.131353932746995
"medPE","3206","Experiment 1",36,0.75,0.43915503282684,0.07319250547114,0.148588685645468
"medPE","3207","Experiment 1",36,0.805555555555556,0.401386485959743,0.0668977476599572,0.13580964790657
"medPE","3208","Experiment 1",36,0.833333333333333,0.377964473009227,0.0629940788348712,0.127884778875499
"medPE","3209","Experiment 1",36,0.805555555555556,0.401386485959743,0.0668977476599572,0.13580964790657
"medPE","3232","Experiment 1",36,0.583333333333333,0.5,0.0833333333333333,0.169175660687529
"medPE","3234","Experiment 1",35,1,0,0,0
"medPE","3235","Experiment 1",36,0.722222222222222,0.454256762579498,0.0757094604299163,0.153698375862329
"medPE","3236","Experiment 1",36,0.472222222222222,0.506309397848002,0.0843848996413337,0.171310453786481
"medPE","3237","Experiment 1",36,0.555555555555556,0.50395263067897,0.0839921051131616,0.170513038500666
"medPE","3239","Experiment 1",36,0.5,0.50709255283711,0.0845154254728517,0.171575435311887
"medPE","3240","Experiment 1",36,0.722222222222222,0.454256762579498,0.0757094604299163,0.153698375862329
"medPE","3241","Experiment 1",35,0.657142857142857,0.481593991977935,0.0814042422743686,0.165433324397255
"medPE","3243","Experiment 1",36,0.777777777777778,0.421637021355784,0.0702728368926307,0.142661443316373
"medPE","3244","Experiment 1",34,0.764705882352941,0.430561545202046,0.0738406958189233,0.150230025217903
"medPE","3246","Experiment 1",36,0.777777777777778,0.421637021355784,0.0702728368926307,0.142661443316373
"medPE","3248","Experiment 1",35,0.771428571428571,0.426042961498036,0.0720144043214405,0.146350877774034
"medPE","3249","Experiment 1",36,0.666666666666667,0.478091443733757,0.0796819072889596,0.161762871725426
"medPE","3250","Experiment 1",36,0.777777777777778,0.421637021355784,0.0702728368926307,0.142661443316373
"medPE","3251","Experiment 1",36,0.833333333333333,0.377964473009227,0.0629940788348712,0.127884778875499
"medPE","3252","Experiment 1",35,0.914285714285714,0.284028640998691,0.0480096028809603,0.0975672518493558
"medPE","3253","Experiment 1",36,0.861111111111111,0.350736187206101,0.0584560312010168,0.118672052395234
"medPE","3254","Experiment 1",36,0.611111111111111,0.494413232473044,0.082402205412174,0.167285370512568
"medPE","3255","Experiment 1",36,0.861111111111111,0.350736187206101,0.0584560312010168,0.118672052395234
"medPE","3257","Experiment 1",32,0.8125,0.396557769456266,0.0701021719786843,0.14297432237212
"medPE","3258","Experiment 1",31,0.935483870967742,0.249731038114707,0.0448530185260521,0.0916020843177253
"medPE","3259","Experiment 1",30,0.7,0.466091599699399,0.0850962943396763,0.174041463619155
"medPE","3260","Experiment 1",32,0.9375,0.245934688418982,0.0434755214775158,0.0886689106424893
"medPE","3261","Experiment 1",31,0.67741935483871,0.475190963311491,0.0853468164859545,0.174301452542261
"medPE","3262","Experiment 1",31,0.870967741935484,0.340777100548239,0.0612053740677751,0.124998049636231
"medPE","3264","Experiment 1",36,0.583333333333333,0.5,0.0833333333333333,0.169175660687529
"medPE","3268","Experiment 1",36,0.777777777777778,0.421637021355784,0.0702728368926307,0.142661443316373
"medPE","3270","Experiment 1",36,0.527777777777778,0.506309397848002,0.0843848996413337,0.171310453786481
"medPE","3271","Experiment 1",36,0.888888888888889,0.318727629155838,0.053121271525973,0.107841914483617
"medPE","3272","Experiment 1",36,0.777777777777778,0.421637021355784,0.0702728368926307,0.142661443316373
"medPE","3273","Experiment 1",36,0.833333333333333,0.377964473009227,0.0629940788348712,0.127884778875499
"medPE","3274","Experiment 1",36,0.583333333333333,0.5,0.0833333333333333,0.169175660687529
"medPE","3280","Experiment 1",36,0.583333333333333,0.5,0.0833333333333333,0.169175660687529
"medPE","6401","Experiment 1",36,0.833333333333333,0.377964473009227,0.0629940788348712,0.127884778875499
"medPE","6402","Experiment 1",36,0.833333333333333,0.377964473009227,0.0629940788348712,0.127884778875499
"medPE","6405","Experiment 1",36,0.611111111111111,0.494413232473044,0.082402205412174,0.167285370512568
"medPE","6407","Experiment 1",36,0.666666666666667,0.478091443733757,0.0796819072889596,0.161762871725426
"medPE","9633","Experiment 1",36,0.861111111111111,0.350736187206101,0.0584560312010168,0.118672052395234
"medPE","9636","Experiment 1",36,0.722222222222222,0.454256762579498,0.0757094604299163,0.153698375862329
"medPE","9637","Experiment 1",36,0.694444444444444,0.467176592151157,0.0778627653585261,0.15806981726984
"medPE","9639","Experiment 1",36,0.75,0.43915503282684,0.07319250547114,0.148588685645468
"medPE","1","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","2","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","5","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"medPE","7","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"medPE","8","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","9","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"medPE","10","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","11","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"medPE","12","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","13","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"medPE","14","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","15","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"medPE","17","Experiment 2",16,0.125,0.341565025531987,0.0853912563829966,0.182007154612316
"medPE","18","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"medPE","19","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","20","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","21","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"medPE","22","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","24","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","25","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"medPE","26","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"medPE","27","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"medPE","28","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"medPE","29","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"medPE","30","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","31","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"medPE","32","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"medPE","33","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"medPE","35","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"medPE","37","Experiment 2",16,0.125,0.341565025531987,0.0853912563829966,0.182007154612316
"medPE","38","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"medPE","40","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","41","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"medPE","42","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","43","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"medPE","48","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"medPE","49","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","50","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","51","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"medPE","52","Experiment 2",16,0.0625,0.25,0.0625,0.133215596597486
"medPE","53","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"medPE","54","Experiment 2",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"medPE","55","Experiment 2",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"medPE","56","Experiment 2",15,0.533333333333333,0.516397779494322,0.133333333333333,0.28597155838904
"medPE","57","Experiment 2",16,0.9375,0.25,0.0625,0.133215596597486
"medPE","58","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","59","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"medPE","60","Experiment 2",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"medPE","61","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","62","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"medPE","63","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","3201","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"highPE","3202","Experiment 1",24,0.875,0.337831962346088,0.0689596605459213,0.142653926600234
"highPE","3203","Experiment 1",24,0.875,0.337831962346088,0.0689596605459213,0.142653926600234
"highPE","3204","Experiment 1",24,0.666666666666667,0.481543412343077,0.0982946374365981,0.2033379497966
"highPE","3205","Experiment 1",23,0.826086956521739,0.38755338788159,0.0808104675899639,0.167590652339557
"highPE","3206","Experiment 1",24,0.625,0.49453535504684,0.100946606635906,0.208823966063345
"highPE","3207","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"highPE","3208","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"highPE","3209","Experiment 1",24,0.875,0.337831962346088,0.0689596605459213,0.142653926600234
"highPE","3232","Experiment 1",24,0.541666666666667,0.508977377704051,0.103894572166229,0.214922297392902
"highPE","3234","Experiment 1",23,0.826086956521739,0.38755338788159,0.0808104675899639,0.167590652339557
"highPE","3235","Experiment 1",24,0.791666666666667,0.414851116999053,0.0846811296559438,0.17517626332165
"highPE","3236","Experiment 1",24,0.708333333333333,0.464305621487537,0.0947759881125241,0.196059069093958
"highPE","3237","Experiment 1",24,0.666666666666667,0.481543412343077,0.0982946374365981,0.2033379497966
"highPE","3239","Experiment 1",24,0.708333333333333,0.464305621487537,0.0947759881125241,0.196059069093958
"highPE","3240","Experiment 1",23,0.826086956521739,0.38755338788159,0.0808104675899639,0.167590652339557
"highPE","3241","Experiment 1",24,0.708333333333333,0.464305621487537,0.0947759881125241,0.196059069093958
"highPE","3243","Experiment 1",23,0.652173913043478,0.486984753557674,0.101543340542807,0.210587999176735
"highPE","3244","Experiment 1",23,0.652173913043478,0.486984753557674,0.101543340542807,0.210587999176735
"highPE","3246","Experiment 1",23,0.91304347826087,0.28810406552003,0.0600738504093702,0.124585540449288
"highPE","3248","Experiment 1",24,0.666666666666667,0.481543412343077,0.0982946374365981,0.2033379497966
"highPE","3249","Experiment 1",24,0.625,0.49453535504684,0.100946606635906,0.208823966063345
"highPE","3250","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","3251","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","3252","Experiment 1",24,0.958333333333333,0.204124145231932,0.0416666666666667,0.0861940671007937
"highPE","3253","Experiment 1",24,0.875,0.337831962346088,0.0689596605459213,0.142653926600234
"highPE","3254","Experiment 1",24,0.541666666666667,0.508977377704051,0.103894572166229,0.214922297392902
"highPE","3255","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","3257","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","3258","Experiment 1",24,0.708333333333333,0.464305621487537,0.0947759881125241,0.196059069093958
"highPE","3259","Experiment 1",24,0.666666666666667,0.481543412343077,0.0982946374365981,0.2033379497966
"highPE","3260","Experiment 1",24,0.875,0.337831962346088,0.0689596605459213,0.142653926600234
"highPE","3261","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"highPE","3262","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"highPE","3264","Experiment 1",24,0.541666666666667,0.508977377704051,0.103894572166229,0.214922297392902
"highPE","3268","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"highPE","3270","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","3271","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"highPE","3272","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","3273","Experiment 1",24,0.666666666666667,0.481543412343077,0.0982946374365981,0.2033379497966
"highPE","3274","Experiment 1",24,0.666666666666667,0.481543412343077,0.0982946374365981,0.2033379497966
"highPE","3280","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","6401","Experiment 1",24,0.708333333333333,0.464305621487537,0.0947759881125241,0.196059069093958
"highPE","6402","Experiment 1",24,0.666666666666667,0.481543412343077,0.0982946374365981,0.2033379497966
"highPE","6405","Experiment 1",24,0.791666666666667,0.414851116999053,0.0846811296559438,0.17517626332165
"highPE","6407","Experiment 1",24,0.625,0.49453535504684,0.100946606635906,0.208823966063345
"highPE","9633","Experiment 1",24,0.875,0.337831962346088,0.0689596605459213,0.142653926600234
"highPE","9636","Experiment 1",24,0.75,0.442325868464691,0.0902893898143269,0.186777833379499
"highPE","9637","Experiment 1",24,0.583333333333333,0.503610155185335,0.102798992457327,0.21265591809026
"highPE","9639","Experiment 1",24,0.583333333333333,0.503610155185335,0.102798992457327,0.21265591809026
"highPE","1","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","2","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","5","Experiment 2",16,0.0625,0.25,0.0625,0.133215596597486
"highPE","7","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"highPE","8","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","9","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","10","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","11","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","12","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","13","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"highPE","14","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","15","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","17","Experiment 2",16,0.0625,0.25,0.0625,0.133215596597486
"highPE","18","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","19","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","20","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","21","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"highPE","22","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"highPE","24","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","25","Experiment 2",16,0.1875,0.403112887414928,0.100778221853732,0.214803695172459
"highPE","26","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"highPE","27","Experiment 2",15,0.733333333333333,0.457737708217063,0.118187368057056,0.253486693688815
"highPE","28","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","29","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","30","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","31","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","32","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","33","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","35","Experiment 2",16,0.3125,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","37","Experiment 2",16,0,0,0,0
"highPE","38","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","40","Experiment 2",16,0.125,0.341565025531987,0.0853912563829966,0.182007154612316
"highPE","41","Experiment 2",16,0.625,0.5,0.125,0.266431193194972
"highPE","42","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","43","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","48","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","49","Experiment 2",16,0.125,0.341565025531987,0.0853912563829966,0.182007154612316
"highPE","50","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","51","Experiment 2",16,0.375,0.5,0.125,0.266431193194972
"highPE","52","Experiment 2",16,0,0,0,0
"highPE","53","Experiment 2",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","54","Experiment 2",16,0.875,0.341565025531987,0.0853912563829966,0.182007154612316
"highPE","55","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","56","Experiment 2",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"highPE","57","Experiment 2",16,0.4375,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","58","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","59","Experiment 2",16,0.5,0.516397779494322,0.129099444873581,0.275168953107812
"highPE","60","Experiment 2",16,0.5625,0.51234753829798,0.128086884574495,0.273010731918475
"highPE","61","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","62","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
"highPE","63","Experiment 2",16,0.25,0.447213595499958,0.111803398874989,0.238303303724135
