"pe","participant","conf","study","N","corrAns","sd","se","ci"
"lowPE","3201","1","Experiment 1",35,1,0,0,0
"lowPE","3201","2","Experiment 1",14,0.714285714285714,0.468807230938495,0.125294002758147,0.270681236401463
"lowPE","3201","3","Experiment 1",9,0.555555555555556,0.52704627669473,0.175682092231577,0.405123631167335
"lowPE","3201","4","Experiment 1",2,0,0,0,0
"lowPE","3202","1","Experiment 1",29,0.96551724137931,0.185695338177052,0.0344827586206897,0.0706347290274222
"lowPE","3202","2","Experiment 1",18,0.888888888888889,0.323380833381777,0.0762215933966706,0.160813505115573
"lowPE","3202","3","Experiment 1",13,0.461538461538462,0.518874521662771,0.143909899491305,0.313552735327778
"lowPE","3203","1","Experiment 1",26,1,0,0,0
"lowPE","3203","2","Experiment 1",12,0.833333333333333,0.389249472080761,0.112366643743874,0.24731731536957
"lowPE","3203","3","Experiment 1",14,0.642857142857143,0.497245158098847,0.132894358488438,0.287100806699151
"lowPE","3203","4","Experiment 1",8,0.875,0.353553390593274,0.125,0.295578031449098
"lowPE","3204","1","Experiment 1",15,0.933333333333333,0.258198889747161,0.0666666666666667,0.14298577919452
"lowPE","3204","2","Experiment 1",43,0.86046511627907,0.350604603563426,0.0534667007954521,0.10790017058537
"lowPE","3204","3","Experiment 1",2,1,0,0,0
"lowPE","3205","1","Experiment 1",26,1,0,0,0
"lowPE","3205","2","Experiment 1",18,0.944444444444444,0.235702260395516,0.0555555555555556,0.117211976546295
"lowPE","3205","3","Experiment 1",14,0.5,0.518874521662771,0.138675049056307,0.299589229414686
"lowPE","3206","1","Experiment 1",23,0.956521739130435,0.208514414057075,0.0434782608695652,0.0901683942566968
"lowPE","3206","2","Experiment 1",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"lowPE","3206","3","Experiment 1",21,0.571428571428571,0.50709255283711,0.110656667034498,0.230825762630232
"lowPE","3207","1","Experiment 1",39,1,0,0,0
"lowPE","3207","2","Experiment 1",16,0.75,0.447213595499958,0.111803398874989,0.238303303724135
"lowPE","3207","3","Experiment 1",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"lowPE","3208","1","Experiment 1",44,0.840909090909091,0.369989429024468,0.0557780051123632,0.112487067798593
"lowPE","3208","2","Experiment 1",8,0.875,0.353553390593274,0.125,0.295578031449098
"lowPE","3208","3","Experiment 1",2,1,0,0,0
"lowPE","3208","4","Experiment 1",6,0.166666666666667,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","3209","1","Experiment 1",39,1,0,0,0
"lowPE","3209","2","Experiment 1",7,0.857142857142857,0.377964473009227,0.142857142857143,0.349558835877853
"lowPE","3209","3","Experiment 1",11,0.636363636363636,0.504524979109513,0.152120004824377,0.338944492913535
"lowPE","3209","4","Experiment 1",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3232","1","Experiment 1",16,1,0,0,0
"lowPE","3232","2","Experiment 1",16,0.6875,0.478713553878169,0.119678388469542,0.255088446716732
"lowPE","3232","3","Experiment 1",23,0.260869565217391,0.44897775854488,0.0936183342476444,0.194152542058227
"lowPE","3232","4","Experiment 1",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"lowPE","3234","1","Experiment 1",52,0.980769230769231,0.138675049056307,0.0192307692307692,0.0386073801983815
"lowPE","3234","2","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3234","3","Experiment 1",4,0.25,0.5,0.25,0.795611576320927
"lowPE","3235","1","Experiment 1",36,0.833333333333333,0.377964473009227,0.0629940788348712,0.127884778875499
"lowPE","3235","2","Experiment 1",15,0.6,0.50709255283711,0.130930734141595,0.280818495626199
"lowPE","3235","3","Experiment 1",8,0.375,0.517549169506766,0.18298126367785,0.432681933679738
"lowPE","3235","4","Experiment 1",1,0,NA,NA,NA
"lowPE","3236","1","Experiment 1",42,0.69047619047619,0.467901138093333,0.0721987130588766,0.145808259035542
"lowPE","3236","2","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"lowPE","3236","3","Experiment 1",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"lowPE","3236","4","Experiment 1",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","3237","1","Experiment 1",26,1,0,0,0
"lowPE","3237","2","Experiment 1",10,1,0,0,0
"lowPE","3237","3","Experiment 1",21,0.476190476190476,0.511766315719159,0.111676565710082,0.232953233987415
"lowPE","3237","4","Experiment 1",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3239","1","Experiment 1",33,0.606060606060606,0.496197663448873,0.0863769261438741,0.175944040968048
"lowPE","3239","2","Experiment 1",8,0.75,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","3239","3","Experiment 1",14,0.642857142857143,0.497245158098847,0.132894358488438,0.287100806699151
"lowPE","3239","4","Experiment 1",4,0,0,0,0
"lowPE","3240","1","Experiment 1",38,1,0,0,0
"lowPE","3240","2","Experiment 1",15,0.866666666666667,0.351865775274498,0.0908513525158996,0.194856771455429
"lowPE","3240","3","Experiment 1",1,0,NA,NA,NA
"lowPE","3241","1","Experiment 1",16,1,0,0,0
"lowPE","3241","2","Experiment 1",19,0.736842105263158,0.452413928358864,0.103790873387713,0.218056533476112
"lowPE","3241","3","Experiment 1",13,0.384615384615385,0.506369683541833,0.140441681411581,0.30599613727959
"lowPE","3241","4","Experiment 1",5,0,0,0,0
"lowPE","3243","1","Experiment 1",20,1,0,0,0
"lowPE","3243","2","Experiment 1",17,0.882352941176471,0.332105582077536,0.0805474349272303,0.170752934140915
"lowPE","3243","3","Experiment 1",15,0.533333333333333,0.516397779494322,0.133333333333333,0.28597155838904
"lowPE","3243","4","Experiment 1",1,0,NA,NA,NA
"lowPE","3244","1","Experiment 1",16,0.9375,0.25,0.0625,0.133215596597486
"lowPE","3244","2","Experiment 1",31,0.774193548387097,0.425023718503241,0.0763365133303176,0.15589995858458
"lowPE","3244","3","Experiment 1",6,0.166666666666667,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","3246","1","Experiment 1",46,0.782608695652174,0.41702882811415,0.0614875461901346,0.123842275155518
"lowPE","3246","2","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3246","3","Experiment 1",2,0.5,0.707106781186548,0.5,6.35310236808735
"lowPE","3246","4","Experiment 1",2,0,0,0,0
"lowPE","3248","1","Experiment 1",40,0.875,0.334932063528542,0.0529574091085202,0.107116470552476
"lowPE","3248","2","Experiment 1",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","3248","3","Experiment 1",11,0.818181818181818,0.404519917477945,0.121967344227261,0.271760178346345
"lowPE","3248","4","Experiment 1",1,1,NA,NA,NA
"lowPE","3249","1","Experiment 1",36,0.861111111111111,0.350736187206101,0.0584560312010168,0.118672052395234
"lowPE","3249","2","Experiment 1",15,0.533333333333333,0.516397779494322,0.133333333333333,0.28597155838904
"lowPE","3249","3","Experiment 1",9,0.222222222222222,0.440958551844098,0.146986183948033,0.338950748002044
"lowPE","3250","1","Experiment 1",12,1,0,0,0
"lowPE","3250","2","Experiment 1",24,0.833333333333333,0.380693493813441,0.0777087340200262,0.160752764026557
"lowPE","3250","3","Experiment 1",23,0.391304347826087,0.499010879347845,0.104050961115322,0.215788485946595
"lowPE","3250","4","Experiment 1",1,1,NA,NA,NA
"lowPE","3251","1","Experiment 1",12,1,0,0,0
"lowPE","3251","2","Experiment 1",19,0.842105263157895,0.374634324632678,0.085947008518708,0.180567964489738
"lowPE","3251","3","Experiment 1",23,0.521739130434783,0.510753918455249,0.106499554034051,0.220866556855008
"lowPE","3251","4","Experiment 1",4,0.25,0.5,0.25,0.795611576320927
"lowPE","3252","1","Experiment 1",39,0.974358974358974,0.160128153805087,0.0256410256410256,0.0519075426644095
"lowPE","3252","2","Experiment 1",5,0.8,0.447213595499958,0.2,0.555289021039559
"lowPE","3252","3","Experiment 1",12,0.583333333333333,0.514928650544437,0.148647097502641,0.327170055694007
"lowPE","3252","4","Experiment 1",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"lowPE","3253","1","Experiment 1",23,1,0,0,0
"lowPE","3253","2","Experiment 1",19,0.789473684210526,0.418853908291695,0.0960916767552923,0.201881121578911
"lowPE","3253","3","Experiment 1",16,0.625,0.5,0.125,0.266431193194972
"lowPE","3253","4","Experiment 1",1,1,NA,NA,NA
"lowPE","3254","1","Experiment 1",33,0.727272727272727,0.452267016866645,0.0787295821622217,0.160366911022911
"lowPE","3254","2","Experiment 1",10,0.7,0.483045891539648,0.152752523165195,0.345550214413644
"lowPE","3254","3","Experiment 1",9,0.777777777777778,0.440958551844098,0.146986183948033,0.338950748002044
"lowPE","3254","4","Experiment 1",7,0.428571428571429,0.534522483824849,0.202030508910442,0.49435084654581
"lowPE","3255","1","Experiment 1",42,0.952380952380952,0.215540268704521,0.0332585855128371,0.0671670760621024
"lowPE","3255","2","Experiment 1",10,0.5,0.52704627669473,0.166666666666667,0.377026193799701
"lowPE","3255","3","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"lowPE","3257","1","Experiment 1",42,0.976190476190476,0.154303349962092,0.0238095238095238,0.0480843088200327
"lowPE","3257","2","Experiment 1",13,0.615384615384615,0.506369683541833,0.140441681411581,0.30599613727959
"lowPE","3257","3","Experiment 1",3,0,0,0,0
"lowPE","3258","1","Experiment 1",26,0.923076923076923,0.271746488194703,0.0532938710021193,0.109760781954326
"lowPE","3258","2","Experiment 1",21,0.857142857142857,0.358568582800318,0.0782460796435952,0.163218462028393
"lowPE","3258","3","Experiment 1",8,0.75,0.462910049886276,0.163663417676994,0.38700248653758
"lowPE","3258","4","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3259","1","Experiment 1",34,0.941176470588235,0.238832573610613,0.0409594484601642,0.0833326244672918
"lowPE","3259","2","Experiment 1",21,0.571428571428571,0.50709255283711,0.110656667034498,0.230825762630232
"lowPE","3259","3","Experiment 1",5,0.8,0.447213595499958,0.2,0.555289021039559
"lowPE","3260","1","Experiment 1",30,1,0,0,0
"lowPE","3260","2","Experiment 1",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","3260","3","Experiment 1",11,0.545454545454545,0.522232967867094,0.157459164324443,0.350840881632583
"lowPE","3260","4","Experiment 1",1,1,NA,NA,NA
"lowPE","3261","1","Experiment 1",13,1,0,0,0
"lowPE","3261","2","Experiment 1",14,0.928571428571429,0.267261241912424,0.0714285714285714,0.154312046890199
"lowPE","3261","3","Experiment 1",8,0.875,0.353553390593274,0.125,0.295578031449098
"lowPE","3261","4","Experiment 1",23,0.739130434782609,0.44897775854488,0.0936183342476444,0.194152542058227
"lowPE","3262","1","Experiment 1",29,0.931034482758621,0.257880714777564,0.0478872465399596,0.0980925778133628
"lowPE","3262","2","Experiment 1",15,0.933333333333333,0.258198889747161,0.0666666666666667,0.14298577919452
"lowPE","3262","3","Experiment 1",10,0.7,0.483045891539648,0.152752523165195,0.345550214413644
"lowPE","3262","4","Experiment 1",6,0.5,0.547722557505166,0.223606797749979,0.574799572620899
"lowPE","3264","1","Experiment 1",18,0.277777777777778,0.460888598962477,0.108632484565978,0.229194508196038
"lowPE","3264","2","Experiment 1",23,0.608695652173913,0.499010879347845,0.104050961115322,0.215788485946595
"lowPE","3264","3","Experiment 1",19,0.631578947368421,0.495594627783352,0.113697205235226,0.238868964392494
"lowPE","3268","1","Experiment 1",24,0.916666666666667,0.28232985128664,0.0576303395673437,0.11921744053702
"lowPE","3268","2","Experiment 1",12,0.916666666666667,0.288675134594813,0.0833333333333333,0.183415430007637
"lowPE","3268","3","Experiment 1",21,0.714285714285714,0.462910049886276,0.101015254455221,0.210714128409851
"lowPE","3268","4","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3270","1","Experiment 1",15,0.866666666666667,0.351865775274498,0.0908513525158996,0.194856771455429
"lowPE","3270","2","Experiment 1",14,0.928571428571429,0.267261241912424,0.0714285714285714,0.154312046890199
"lowPE","3270","3","Experiment 1",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","3270","4","Experiment 1",15,0.4,0.50709255283711,0.130930734141595,0.280818495626199
"lowPE","3271","1","Experiment 1",32,1,0,0,0
"lowPE","3271","2","Experiment 1",14,0.928571428571429,0.267261241912424,0.0714285714285714,0.154312046890199
"lowPE","3271","3","Experiment 1",11,0.545454545454545,0.522232967867094,0.157459164324443,0.350840881632583
"lowPE","3271","4","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3272","1","Experiment 1",38,0.789473684210526,0.413154950112274,0.0670225831544225,0.135800652840232
"lowPE","3272","2","Experiment 1",11,0.363636363636364,0.504524979109513,0.152120004824377,0.338944492913535
"lowPE","3272","3","Experiment 1",9,0.666666666666667,0.5,0.166666666666667,0.384334022534028
"lowPE","3273","1","Experiment 1",43,0.953488372093023,0.213082632316446,0.0324947967909661,0.0655771548406523
"lowPE","3273","2","Experiment 1",10,0.9,0.316227766016838,0.1,0.22621571627982
"lowPE","3273","3","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","3273","4","Experiment 1",4,0.25,0.5,0.25,0.795611576320927
"lowPE","3274","1","Experiment 1",18,1,0,0,0
"lowPE","3274","2","Experiment 1",20,0.75,0.444261658319319,0.0993399267798783,0.207920856313445
"lowPE","3274","3","Experiment 1",18,0.444444444444444,0.511309992564914,0.120516921010365,0.254268477340174
"lowPE","3274","4","Experiment 1",4,0,0,0,0
"lowPE","3280","1","Experiment 1",49,0.877551020408163,0.331200660553418,0.0473143800790597,0.095131937122401
"lowPE","3280","2","Experiment 1",7,0.142857142857143,0.377964473009227,0.142857142857143,0.349558835877853
"lowPE","3280","3","Experiment 1",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","6401","1","Experiment 1",37,0.891891891891892,0.314800093867678,0.0517528166354777,0.104959576952254
"lowPE","6401","2","Experiment 1",19,0.684210526315789,0.477566932940919,0.109561368392954,0.230179893615726
"lowPE","6401","3","Experiment 1",4,0.25,0.5,0.25,0.795611576320927
"lowPE","6402","1","Experiment 1",40,0.825,0.384807644254793,0.0608434308444476,0.123067455112949
"lowPE","6402","2","Experiment 1",14,0.714285714285714,0.468807230938495,0.125294002758147,0.270681236401463
"lowPE","6402","3","Experiment 1",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","6405","1","Experiment 1",32,0.71875,0.456803409399174,0.0807521971138227,0.164695191839695
"lowPE","6405","2","Experiment 1",16,0.8125,0.403112887414928,0.100778221853732,0.214803695172459
"lowPE","6405","3","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"lowPE","6405","4","Experiment 1",5,1,0,0,0
"lowPE","6407","1","Experiment 1",22,0.909090909090909,0.29424494316825,0.0627332326674867,0.130460899179828
"lowPE","6407","2","Experiment 1",16,0.625,0.5,0.125,0.266431193194972
"lowPE","6407","3","Experiment 1",20,0.35,0.489360484929593,0.109424330980483,0.229027756879687
"lowPE","6407","4","Experiment 1",2,1,0,0,0
"lowPE","9633","1","Experiment 1",30,0.966666666666667,0.182574185835055,0.0333333333333333,0.0681743214044234
"lowPE","9633","2","Experiment 1",20,0.7,0.470162345981627,0.105131496607569,0.220042751275588
"lowPE","9633","3","Experiment 1",9,0.555555555555556,0.52704627669473,0.175682092231577,0.405123631167335
"lowPE","9633","4","Experiment 1",1,0,NA,NA,NA
"lowPE","9636","1","Experiment 1",42,0.69047619047619,0.467901138093333,0.0721987130588766,0.145808259035542
"lowPE","9636","2","Experiment 1",11,0.727272727272727,0.467099366496914,0.140835758043906,0.313801624246565
"lowPE","9636","3","Experiment 1",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","9636","4","Experiment 1",1,0,NA,NA,NA
"lowPE","9637","1","Experiment 1",32,1,0,0,0
"lowPE","9637","2","Experiment 1",13,0.769230769230769,0.438529009653515,0.12162606385263,0.265000428344036
"lowPE","9637","3","Experiment 1",14,0.642857142857143,0.497245158098847,0.132894358488438,0.287100806699151
"lowPE","9637","4","Experiment 1",1,0,NA,NA,NA
"lowPE","9639","1","Experiment 1",29,0.896551724137931,0.309934046694603,0.0575533076135366,0.117892606349507
"lowPE","9639","2","Experiment 1",20,0.7,0.470162345981627,0.105131496607569,0.220042751275588
"lowPE","9639","3","Experiment 1",7,0.714285714285714,0.487950036474267,0.184427778390829,0.451278516624858
"lowPE","9639","4","Experiment 1",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","1","1","Experiment 2",1,1,NA,NA,NA
"lowPE","1","2","Experiment 2",2,0,0,0,0
"lowPE","1","3","Experiment 2",9,0.444444444444444,0.52704627669473,0.175682092231577,0.405123631167335
"lowPE","1","4","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"lowPE","2","1","Experiment 2",1,0,NA,NA,NA
"lowPE","2","2","Experiment 2",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"lowPE","2","3","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"lowPE","2","4","Experiment 2",6,0.5,0.547722557505166,0.223606797749979,0.574799572620899
"lowPE","5","1","Experiment 2",1,0,NA,NA,NA
"lowPE","5","2","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"lowPE","5","3","Experiment 2",6,0,0,0,0
"lowPE","5","4","Experiment 2",5,0,0,0,0
"lowPE","7","1","Experiment 2",1,0,NA,NA,NA
"lowPE","7","2","Experiment 2",3,0.333333333333333,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","7","3","Experiment 2",12,0.166666666666667,0.389249472080761,0.112366643743874,0.24731731536957
"lowPE","8","2","Experiment 2",1,1,NA,NA,NA
"lowPE","8","3","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"lowPE","8","4","Experiment 2",11,0.0909090909090909,0.301511344577764,0.0909090909090909,0.202558077453298
"lowPE","9","2","Experiment 2",4,0.75,0.5,0.25,0.795611576320927
"lowPE","9","3","Experiment 2",8,0.5,0.534522483824849,0.188982236504614,0.446871979559052
"lowPE","9","4","Experiment 2",4,0.5,0.577350269189626,0.288675134594813,0.918693115518539
"lowPE","10","1","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","10","2","Experiment 2",6,0.5,0.547722557505166,0.223606797749979,0.574799572620899
"lowPE","10","3","Experiment 2",2,1,0,0,0
"lowPE","10","4","Experiment 2",5,0.8,0.447213595499958,0.2,0.555289021039559
"lowPE","11","2","Experiment 2",2,0,0,0,0
"lowPE","11","3","Experiment 2",13,0.538461538461538,0.518874521662771,0.143909899491305,0.313552735327778
"lowPE","11","4","Experiment 2",1,0,NA,NA,NA
"lowPE","12","1","Experiment 2",1,1,NA,NA,NA
"lowPE","12","2","Experiment 2",5,0.8,0.447213595499958,0.2,0.555289021039559
"lowPE","12","3","Experiment 2",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","12","4","Experiment 2",4,0.75,0.5,0.25,0.795611576320927
"lowPE","13","3","Experiment 2",2,1,0,0,0
"lowPE","13","4","Experiment 2",14,0.214285714285714,0.42581531362632,0.113803929545099,0.245858442371531
"lowPE","14","1","Experiment 2",1,0,NA,NA,NA
"lowPE","14","2","Experiment 2",1,1,NA,NA,NA
"lowPE","14","3","Experiment 2",9,0.555555555555556,0.52704627669473,0.175682092231577,0.405123631167335
"lowPE","14","4","Experiment 2",5,0.4,0.547722557505166,0.244948974278318,0.680087380658256
"lowPE","15","1","Experiment 2",1,0,NA,NA,NA
"lowPE","15","2","Experiment 2",14,0.357142857142857,0.497245158098847,0.132894358488438,0.287100806699151
"lowPE","15","4","Experiment 2",1,1,NA,NA,NA
"lowPE","17","1","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"lowPE","17","2","Experiment 2",2,0,0,0,0
"lowPE","17","3","Experiment 2",9,0.222222222222222,0.440958551844098,0.146986183948033,0.338950748002044
"lowPE","17","4","Experiment 2",1,0,NA,NA,NA
"lowPE","18","1","Experiment 2",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","18","2","Experiment 2",5,0.6,0.547722557505166,0.244948974278318,0.680087380658256
"lowPE","18","3","Experiment 2",4,1,0,0,0
"lowPE","18","4","Experiment 2",1,1,NA,NA,NA
"lowPE","19","2","Experiment 2",8,0.375,0.517549169506766,0.18298126367785,0.432681933679738
"lowPE","19","3","Experiment 2",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","19","4","Experiment 2",2,0,0,0,0
"lowPE","20","1","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"lowPE","20","2","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","20","3","Experiment 2",9,0.333333333333333,0.5,0.166666666666667,0.384334022534028
"lowPE","20","4","Experiment 2",2,0.5,0.707106781186548,0.5,6.35310236808735
"lowPE","21","1","Experiment 2",4,0.25,0.5,0.25,0.795611576320927
"lowPE","21","2","Experiment 2",6,0.833333333333333,0.408248290463863,0.166666666666667,0.428430305939386
"lowPE","21","3","Experiment 2",6,0.333333333333333,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","22","1","Experiment 2",6,0.666666666666667,0.516397779494322,0.210818510677892,0.541926234164489
"lowPE","22","2","Experiment 2",3,0.666666666666667,0.577350269189626,0.333333333333333,1.43421757658315
"lowPE","22","3","Experiment 2",4,0.75,0.5,0.25,0.795611576320927
